id,hypers,roc,acc
49,"Namespace(experiment_id='49', head_linear=791, head_ps=0.40243180923710914, lr=0.0008289329589839474, lr_mult=45, mask_prob=0.2717466670151788, max_masked=3, max_tgt_length=82, stem_ps=0.18627826709698755, train_epochs=8, vis_mask_prob=0.2807936259129307)",0.7350483455376107,0.6836538314819336
50,"Namespace(experiment_id='50', head_linear=860, head_ps=0.35799512950316625, lr=0.00046977174397087407, lr_mult=48, mask_prob=0.14469164726911832, max_masked=17, max_tgt_length=40, stem_ps=0.02040002679159929, train_epochs=8, vis_mask_prob=0.2416494723119407)",0.7305099388465731,0.6875
51,"Namespace(experiment_id='51', head_linear=814, head_ps=0.43208956207694904, lr=0.0016892663481145578, lr_mult=66, mask_prob=0.1628505947601763, max_masked=8, max_tgt_length=84, stem_ps=0.013647805448767524, train_epochs=8, vis_mask_prob=0.24719570434545535)",0.7413466580651976,0.6855769157409668
52,"Namespace(experiment_id='52', head_linear=943, head_ps=0.6753738752569555, lr=0.0013972225287824968, lr_mult=72, mask_prob=0.20293323535613253, max_masked=23, max_tgt_length=72, stem_ps=0.20755520518132778, train_epochs=8, vis_mask_prob=0.0018580731690376105)",0.7360744857038303,0.6807692050933838
53,"Namespace(experiment_id='53', head_linear=956, head_ps=0.5758850085854293, lr=0.001955672622113319, lr_mult=80, mask_prob=0.014630753852046173, max_masked=13, max_tgt_length=69, stem_ps=0.2735956069202487, train_epochs=8, vis_mask_prob=0.1512675250790896)",0.7435668179468897,0.6884615421295166
54,"Namespace(experiment_id='54', head_linear=826, head_ps=0.23059745450491997, lr=0.001417825455473009, lr_mult=71, mask_prob=0.0064772950012008, max_masked=36, max_tgt_length=89, stem_ps=0.16621128782285502, train_epochs=8, vis_mask_prob=0.029218933616356288)",0.7419446110664689,0.6894230842590332
55,"Namespace(experiment_id='55', head_linear=510, head_ps=0.5408948831817284, lr=0.0010071913714649412, lr_mult=56, mask_prob=0.21909212998694608, max_masked=21, max_tgt_length=81, stem_ps=0.2474362275632457, train_epochs=8, vis_mask_prob=0.22452386205434557)",0.7550769416495959,0.6951923370361328
56,"Namespace(experiment_id='56', head_linear=640, head_ps=0.1468265246825105, lr=0.0011180714792437378, lr_mult=70, mask_prob=0.13012739224772463, max_masked=25, max_tgt_length=56, stem_ps=0.27414159880329186, train_epochs=8, vis_mask_prob=0.2340727453591069)",0.7319963330579353,0.6740384697914124
57,"Namespace(experiment_id='57', head_linear=678, head_ps=0.1419447240536523, lr=0.0014736992165082787, lr_mult=57, mask_prob=0.15355835438934923, max_masked=26, max_tgt_length=69, stem_ps=0.11986553831819374, train_epochs=8, vis_mask_prob=0.04723055775718297)",0.7316605739594297,0.6711538434028625
58,"Namespace(experiment_id='58', head_linear=948, head_ps=0.007284909323987421, lr=0.001646274211273726, lr_mult=57, mask_prob=0.13101739906585552, max_masked=31, max_tgt_length=69, stem_ps=0.12683338452077553, train_epochs=8, vis_mask_prob=0.0524757891147335)",0.7331318778742301,0.6894230842590332
59,"Namespace(experiment_id='59', head_linear=570, head_ps=0.7828225278756072, lr=0.0012024491957964383, lr_mult=53, mask_prob=0.11857973326090958, max_masked=6, max_tgt_length=84, stem_ps=0.26572939977626, train_epochs=8, vis_mask_prob=0.1959551185712037)",0.7497123412217859,0.6788461804389954
60,"Namespace(experiment_id='60', head_linear=926, head_ps=0.6834487067046551, lr=0.0005317824266533362, lr_mult=52, mask_prob=0.29563153201679604, max_masked=1, max_tgt_length=87, stem_ps=0.047108960261176634, train_epochs=8, vis_mask_prob=0.15148418004202568)",0.7274371772091252,0.6692307591438293
61,"Namespace(experiment_id='61', head_linear=467, head_ps=0.6580593016261959, lr=0.0017606900503175245, lr_mult=13, mask_prob=0.0004992496904367982, max_masked=7, max_tgt_length=47, stem_ps=0.12643457275691825, train_epochs=8, vis_mask_prob=0.03526893559688873)",0.7075708017851821,0.6740384697914124
65,"Namespace(experiment_id='65', head_linear=851, head_ps=0.7462561992995376, lr=0.001373762174805423, lr_mult=52, mask_prob=0.1207479010921959, max_masked=20, max_tgt_length=44, stem_ps=0.13671837667398998, train_epochs=8, vis_mask_prob=0.24635205646246172)",0.7382399432604849,0.6846153736114502
67,"Namespace(experiment_id='67', head_linear=643, head_ps=0.7877554889403702, lr=0.0012884038879805036, lr_mult=40, mask_prob=0.08213437645564536, max_masked=24, max_tgt_length=80, stem_ps=0.16653444156857944, train_epochs=8, vis_mask_prob=0.09507845969592263)",0.7329470217413447,0.6807692050933838
